# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0141   0.0168   0.4471   Lower   A v -> Y v    FE_OFC5_scan_en
0.0030   0.0600   0.1082   Lower   A v -> Y v    CTS_ccl_a_buf_00006
0.0030   0.0600   0.1105   Lower   A v -> Y v    CTS_ccl_a_buf_00004
0.7579   0.6120   0.1269   Upper   RN v -> Q v    window_state_r_reg[0]
0.7580   0.6120   0.1074   Upper   RN v -> Q v    tv_on_r_reg
0.7579   0.6120   0.0969   Upper   RN v -> Q v    door_locked_r_reg
0.7579   0.6120   0.1296   Upper   RN v -> QN ^    door_locked_r_reg
0.7580   0.6120   0.1056   Upper   RN v -> Q v    music_on_r_reg
0.7580   0.6120   0.1224   Upper   RN v -> Q v    window_state_r_reg[1]
0.7580   0.6120   0.0989   Upper   RN v -> Q v    visitor_count_r_reg[7]
0.7580   0.6120   0.0971   Upper   RN v -> Q v    water_pump_on_r_reg
0.7580   0.6120   0.1207   Upper   RN v -> QN ^    water_pump_on_r_reg
0.7580   0.6120   0.1148   Upper   RN v -> Q v    water_valve_close_r_reg
0.7580   0.6120   0.0939   Upper   RN v -> Q v    visitor_count_r_reg[5]
0.7580   0.6120   0.0924   Upper   RN v -> Q v    visitor_count_r_reg[6]
0.7580   0.6120   0.0867   Upper   RN v -> Q v    visitor_count_r_reg[4]
0.7580   0.6120   0.0983   Upper   RN v -> Q v    visitor_count_r_reg[3]
0.7580   0.6120   0.0911   Upper   RN v -> Q v    volume_level_r_reg[3]
0.7580   0.6120   0.0979   Upper   RN v -> Q v    lock_status_r_reg[0]
0.7580   0.6120   0.0969   Upper   RN v -> Q v    volume_level_r_reg[2]
0.7580   0.6120   0.0931   Upper   RN v -> Q v    volume_level_r_reg[1]
0.7579   0.6120   0.0822   Upper   RN v -> Q v    water_level_r_reg[3]
0.7579   0.6120   0.0878   Upper   RN v -> Q v    lock_status_r_reg[1]
0.7579   0.6120   0.0822   Upper   RN v -> Q v    water_level_r_reg[2]
0.7580   0.6120   0.0977   Upper   RN v -> Q v    volume_level_r_reg[0]
0.7579   0.6120   0.0769   Upper   RN v -> Q v    water_level_r_reg[1]
