# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0030   0.0600   0.1103   Lower   A v -> Y v    CTS_ccl_a_buf_00006
0.0030   0.0600   0.1131   Lower   A v -> Y v    CTS_ccl_a_buf_00004
0.7434   0.6120   0.2537   Upper   A v -> Y v    FE_OFC6_scan_en
0.7711   0.6120   0.1274   Upper   RN v -> Q v    window_state_r_reg[0]
0.7711   0.6120   0.1087   Upper   RN v -> Q v    tv_on_r_reg
0.7711   0.6120   0.1001   Upper   RN v -> Q v    door_locked_r_reg
0.7711   0.6120   0.1299   Upper   RN v -> QN ^    door_locked_r_reg
0.7711   0.6120   0.1070   Upper   RN v -> Q v    music_on_r_reg
0.7711   0.6120   0.1229   Upper   RN v -> Q v    window_state_r_reg[1]
0.7711   0.6120   0.1007   Upper   RN v -> Q v    visitor_count_r_reg[7]
0.7711   0.6120   0.1003   Upper   RN v -> Q v    water_pump_on_r_reg
0.7711   0.6120   0.1210   Upper   RN v -> QN ^    water_pump_on_r_reg
0.7711   0.6120   0.1155   Upper   RN v -> Q v    water_valve_close_r_reg
0.7711   0.6120   0.0961   Upper   RN v -> Q v    visitor_count_r_reg[5]
0.7711   0.6120   0.0947   Upper   RN v -> Q v    visitor_count_r_reg[6]
0.7711   0.6120   0.0890   Upper   RN v -> Q v    visitor_count_r_reg[4]
0.7711   0.6120   0.1002   Upper   RN v -> Q v    visitor_count_r_reg[3]
0.7711   0.6120   0.0934   Upper   RN v -> Q v    volume_level_r_reg[3]
0.7711   0.6120   0.0999   Upper   RN v -> Q v    lock_status_r_reg[0]
0.7711   0.6120   0.0989   Upper   RN v -> Q v    volume_level_r_reg[2]
0.7711   0.6120   0.0953   Upper   RN v -> Q v    volume_level_r_reg[1]
0.7711   0.6120   0.0830   Upper   RN v -> Q v    water_level_r_reg[3]
0.7711   0.6120   0.0902   Upper   RN v -> Q v    lock_status_r_reg[1]
0.7711   0.6120   0.0830   Upper   RN v -> Q v    water_level_r_reg[2]
0.7711   0.6120   0.0996   Upper   RN v -> Q v    volume_level_r_reg[0]
0.7711   0.6120   0.0776   Upper   RN v -> Q v    water_level_r_reg[1]
0.7711   0.6120   0.1114   Upper   RN v -> Q v    humidifier_on_r_reg
0.7711   0.6120   0.1097   Upper   RN v -> Q v    dehumidifier_on_r_reg
0.7711   0.6120   0.0795   Upper   RN v -> Q v    water_level_r_reg[0]
0.7711   0.6120   0.0914   Upper   RN v -> Q v    temp_setpoint_r_reg[7]
