# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0030   0.0600   0.0641   Lower   CK ^ -> Q v    u_appliances/ac_on_reg
0.0030   0.0600   0.0683   Lower   CK ^ -> Q v    u_appliances/fan_on_reg
0.0030   0.0600   0.0705   Lower   CK ^ -> Q v    u_appliances/lights_on_reg
0.0030   0.0600   0.1269   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[6]
0.0030   0.0600   0.1195   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[5]
0.0030   0.0600   0.0981   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[7]
0.0030   0.0600   0.1247   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[3]
0.0030   0.0600   0.1245   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[4]
0.0030   0.0600   0.0824   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[8]
0.0030   0.0600   0.1184   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[2]
0.0030   0.0600   0.1092   Lower   CK ^ -> Q v    u_burglar/alarm_out_reg
0.0030   0.0600   0.1100   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[1]
0.0030   0.0600   0.1034   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[0]
0.0030   0.0600   0.0522   Lower   CK ^ -> Q v    u_door_lock/door_locked_reg
0.0030   0.0600   0.0878   Lower   CK ^ -> Q v    u_door_lock/lock_status_reg[1]
0.0030   0.0600   0.0782   Lower   CK ^ -> Q v    u_door_lock/lock_status_reg[0]
0.0030   0.0600   0.1171   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[7]
0.0030   0.0600   0.1344   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[6]
0.0030   0.0600   0.1413   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[5]
0.0030   0.0600   0.1192   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[4]
0.0030   0.0600   0.1128   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[3]
0.0030   0.0600   0.1286   Lower   CK ^ -> Q v    u_door_lock/attempt_counter_reg[0]
0.0030   0.0600   0.1328   Lower   CK ^ -> Q v    u_door_lock/attempt_counter_reg[1]
0.0030   0.0600   0.0937   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[1]
0.0030   0.0600   0.1123   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[2]
0.0030   0.0600   0.2234   Lower   CK ^ -> Q v    u_door_lock/state_reg[1]
0.0030   0.0600   0.1964   Lower   CK ^ -> Q v    u_door_lock/state_reg[0]
0.0030   0.0600   0.0842   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[0]
0.0030   0.0600   0.0986   Lower   CK ^ -> Q v    u_door_lock/attempt_counter_reg[2]
0.0030   0.0600   0.0799   Lower   CK ^ -> Q v    u_entertainment/tv_on_reg
0.0030   0.0600   0.0702   Lower   CK ^ -> Q v    u_entertainment/music_on_reg
0.0030   0.0600   0.1197   Lower   CK ^ -> Q v    u_entertainment/volume_level_reg[0]
0.0030   0.0600   0.1313   Lower   CK ^ -> Q v    u_entertainment/volume_level_reg[2]
0.0030   0.0600   0.1073   Lower   CK ^ -> Q v    u_entertainment/volume_level_reg[1]
0.0030   0.0600   0.0908   Lower   CK ^ -> Q v    u_entertainment/volume_level_reg[3]
0.0030   0.0600   0.0737   Lower   CK ^ -> Q v    u_humidity/dehumidifier_on_reg
0.0030   0.0600   0.1028   Lower   CK ^ -> Q v    u_humidity/humidifier_on_reg
0.0030   0.0600   0.0849   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[4]
0.0030   0.0600   0.1059   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[6]
0.0030   0.0600   0.0979   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[7]
0.0030   0.0600   0.0926   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[0]
0.0030   0.0600   0.0794   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[2]
0.0030   0.0600   0.0855   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[5]
0.0030   0.0600   0.0803   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[3]
0.0030   0.0600   0.0754   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[1]
0.0030   0.0600   0.1418   Lower   CK ^ -> Q v    u_temp_ctrl/cooler_on_reg
0.0030   0.0600   0.0560   Lower   CK ^ -> QN v    u_temp_ctrl/cooler_on_reg
0.0030   0.0600   0.1394   Lower   CK ^ -> Q v    u_temp_ctrl/heater_on_reg
0.0030   0.0600   0.0560   Lower   CK ^ -> QN v    u_temp_ctrl/heater_on_reg
0.0030   0.0600   0.0887   Lower   CK ^ -> Q v    u_visitor/count_reg[6]
0.0030   0.0600   0.1247   Lower   CK ^ -> Q v    u_visitor/count_reg[5]
0.0030   0.0600   0.1400   Lower   CK ^ -> Q v    u_visitor/count_reg[7]
0.0030   0.0600   0.0973   Lower   CK ^ -> Q v    u_visitor/count_reg[4]
0.0030   0.0600   0.0944   Lower   CK ^ -> Q v    u_visitor/count_reg[1]
0.0030   0.0600   0.0867   Lower   CK ^ -> Q v    u_visitor/count_reg[2]
0.0030   0.0600   0.1135   Lower   CK ^ -> Q v    u_visitor/count_reg[3]
0.0030   0.0600   0.0664   Lower   CK ^ -> Q v    u_visitor/count_reg[0]
0.0030   0.0600   0.0813   Lower   CK ^ -> Q v    u_visitor/exit_prev_reg
0.0030   0.0600   0.0663   Lower   CK ^ -> Q v    u_visitor/entry_prev_reg
0.0030   0.0600   0.0752   Lower   CK ^ -> Q v    u_water_ctrl/valve_close_reg
0.0030   0.0600   0.0901   Lower   CK ^ -> Q v    u_water_ctrl/pump_on_reg
0.0030   0.0600   0.1381   Lower   CK ^ -> Q v    u_window/window_state_reg[0]
0.0030   0.0600   0.1437   Lower   CK ^ -> Q v    u_window/window_state_reg[1]
0.0030   0.0600   0.0430   Lower   CK ^ -> Q v    water_valve_close_r_reg
0.0030   0.0600   0.0415   Lower   CK ^ -> Q v    tv_on_r_reg
0.0030   0.0600   0.0420   Lower   CK ^ -> Q v    music_on_r_reg
0.0030   0.0600   0.0403   Lower   CK ^ -> Q v    led_brightness_r_reg[2]
0.0030   0.0600   0.0396   Lower   CK ^ -> Q v    led_brightness_r_reg[7]
0.0030   0.0600   0.0387   Lower   CK ^ -> Q v    led_brightness_r_reg[3]
0.0030   0.0600   0.0417   Lower   CK ^ -> Q v    humidifier_on_r_reg
0.0030   0.0600   0.0420   Lower   CK ^ -> Q v    dehumidifier_on_r_reg
0.0030   0.0600   0.0823   Lower   CK ^ -> Q v    lights_on_r_reg
0.0030   0.0600   0.3813   Lower   CK ^ -> QN v    lights_on_r_reg
0.0030   0.0600   0.0388   Lower   CK ^ -> Q v    led_brightness_r_reg[1]
0.0030   0.0600   0.0404   Lower   CK ^ -> Q v    led_brightness_r_reg[0]
0.0030   0.0600   0.0399   Lower   CK ^ -> Q v    led_brightness_r_reg[6]
0.0030   0.0600   0.0391   Lower   CK ^ -> Q v    led_brightness_r_reg[5]
0.0030   0.0600   0.0403   Lower   CK ^ -> Q v    led_brightness_r_reg[4]
0.0030   0.0600   0.0531   Lower   CK ^ -> Q v    ac_on_r_reg
0.0030   0.0600   0.3829   Lower   CK ^ -> QN v    ac_on_r_reg
0.0030   0.0600   0.0566   Lower   CK ^ -> Q v    fan_on_r_reg
0.0030   0.0600   0.3940   Lower   CK ^ -> QN v    fan_on_r_reg
0.0030   0.0600   0.0393   Lower   CK ^ -> Q v    lock_status_r_reg[0]
0.0030   0.0600   0.0385   Lower   CK ^ -> Q v    lock_status_r_reg[1]
0.0030   0.0600   0.0653   Lower   CK ^ -> Q v    door_locked_r_reg
0.0030   0.0600   0.3517   Lower   CK ^ -> QN v    door_locked_r_reg
0.0030   0.0600   0.0406   Lower   CK ^ -> Q v    volume_level_r_reg[2]
0.0030   0.0600   0.0390   Lower   CK ^ -> Q v    volume_level_r_reg[3]
0.0030   0.0600   0.0392   Lower   CK ^ -> Q v    volume_level_r_reg[1]
0.0030   0.0600   0.0407   Lower   CK ^ -> Q v    volume_level_r_reg[0]
0.0030   0.0600   0.0651   Lower   CK ^ -> Q v    water_pump_on_r_reg
0.0030   0.0600   0.3428   Lower   CK ^ -> QN v    water_pump_on_r_reg
0.0030   0.0600   0.0377   Lower   CK ^ -> Q v    pin_input_r_reg[3]
0.0030   0.0600   0.0456   Lower   CK ^ -> Q v    ac_cmd_r_reg
0.0030   0.0600   0.0391   Lower   CK ^ -> Q v    visitor_count_r_reg[1]
0.0030   0.0600   0.0402   Lower   CK ^ -> Q v    visitor_count_r_reg[5]
0.0030   0.0600   0.0383   Lower   CK ^ -> Q v    visitor_count_r_reg[4]
0.0030   0.0600   0.0402   Lower   CK ^ -> Q v    visitor_count_r_reg[2]
0.0030   0.0600   0.0408   Lower   CK ^ -> Q v    visitor_count_r_reg[3]
0.0030   0.0600   0.0442   Lower   CK ^ -> Q v    window_state_r_reg[1]
0.0030   0.0600   0.0402   Lower   CK ^ -> Q v    visitor_count_r_reg[0]
0.0030   0.0600   0.0454   Lower   CK ^ -> Q v    window_state_r_reg[0]
0.0030   0.0600   0.0403   Lower   CK ^ -> Q v    visitor_count_r_reg[7]
0.0030   0.0600   0.0392   Lower   CK ^ -> Q v    visitor_count_r_reg[6]
0.0030   0.0600   0.0480   Lower   CK ^ -> Q v    window_manual_open_r_reg
0.0030   0.0600   0.0423   Lower   CK ^ -> Q v    motion_sensor_r_reg
0.0076   0.0168   0.0448   Lower   RN v -> Q v    temp_sensor_r_reg[0]
0.0030   0.0600   0.0483   Lower   CK ^ -> Q v    temp_sensor_r_reg[0]
0.0076   0.0168   0.0402   Lower   RN v -> Q v    temp_sensor_r_reg[1]
0.0030   0.0600   0.0440   Lower   CK ^ -> Q v    temp_sensor_r_reg[1]
0.0138   0.0168   0.0530   Lower   RN v -> Q v    temp_sensor_r_reg[2]
0.0030   0.0600   0.0561   Lower   CK ^ -> Q v    temp_sensor_r_reg[2]
0.0138   0.0168   0.0575   Lower   RN v -> Q v    temp_sensor_r_reg[3]
0.0030   0.0600   0.0604   Lower   CK ^ -> Q v    temp_sensor_r_reg[3]
0.0030   0.0600   0.0546   Lower   CK ^ -> Q v    temp_sensor_r_reg[4]
0.0030   0.0600   0.0651   Lower   CK ^ -> Q v    temp_sensor_r_reg[5]
0.0030   0.0600   0.0431   Lower   CK ^ -> Q v    pin_input_r_reg[0]
0.0030   0.0600   0.0583   Lower   CK ^ -> Q v    temp_sensor_r_reg[7]
0.0030   0.0600   0.0545   Lower   CK ^ -> Q v    temp_setpoint_r_reg[7]
0.0030   0.0600   0.0552   Lower   CK ^ -> Q v    temp_setpoint_r_reg[0]
0.0030   0.0600   0.0686   Lower   CK ^ -> Q v    temp_setpoint_r_reg[2]
